IDs                Reaction
EX_cpd00117_e0        cpd00117_e0 <=>
EX_cpd03161_e0        cpd03161_e0 <=>
EX_cpd00355_e0        cpd00355_e0 <=>
EX_cpd15437_e0        cpd15437_e0 <=>
EX_cpd00024_e0        cpd00024_e0 <=>
EX_cpd00164_e0        cpd00164_e0 <=>
EX_cpd00034_e0        cpd00034_e0 <=>
EX_cpd00386_e0        cpd00386_e0 <=>
EX_cpd00152_e0        cpd00152_e0 <=>
EX_cpd03587_e0        cpd03587_e0 <=>
EX_cpd00227_e0        cpd00227_e0 <=>
EX_cpd03912_e0        cpd03912_e0 <=>
EX_cpd00552_e0        cpd00552_e0 <=>
EX_cpd02701_c0        cpd02701_c0 -->
