,IDs,Metabolites/Donor,Environment,Species1,Species2
116,cpd00013_e0,NH3_e0,1.9333388181122115,-0.31090642122328727,-1.6224323968889243
117,cpd15386_e0,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate_e0",0,0.0,0
118,cpd00235_e0,D-mannose-6-phosphate_e0,0,0.0,0
119,cpd00381_e0,L-Cystine_e0,0,0.0,0
120,cpd00221_e0,D-Lactate_e0,0,2.478085593935039,-2.478085593935039
121,cpd00438_e0,Deoxyadenosine_e0,0,0.0,0.0
122,cpd00018_e0,AMP_e0,0,0.0,0
123,cpd03422_e0,Cobinamide_e0,0,0.0,0
124,cpd00141_e0,Propionate_e0,0,0.0,0.0
125,cpd00159_e0,L-Lactate_e0,0,0.0,0.0
126,cpd00007_e0,O2_e0,0,0.0,0.0
127,cpd15559_e0,psicoselysine_e0,0,0.0,0
128,tartr-D-e_e0,D-tartrate,0,0.0,0
129,cpd00138_e0,D-Mannose_e0,0,0.0,0.0
130,cpd00114_e0,IMP_e0,0,0.0,0
131,cpd15482_e0,hepta-acylated core oligosaccharide lipid A_e0,0,0,0
132,cpd00157_e0,Glycerone_e0,0,0.0,0
133,cpd03387_e0,Selenite_e0,0,0.0,0
134,cpd15387_e0,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine_e0",0,0.0,0
135,cpd00644_e0,PAN_e0,0,-5.8553830978686394e-05,5.8553830978686394e-05
136,cpd00552_e0,F-_e0,0,0.0,0
137,cpd00363_e0,Ethanol_e0,0,0.028504595670770527,-0.028504595670770527
138,cpd01571_e0,"2',3'-Cyclic CMP_e0",0,0.0,0
139,cpd00179_e0,Maltose_e0,0,0.0,0.0
140,cpd00108_e0,Galactose_e0,0,0.0,0.0
141,cpd00309_e0,XAN_e0,0,0.0,0.0
142,cpd00709_e0,beta D-Galactose_e0,0,0.0,0
143,cpd00058_e0,Cu2+_e0,6.159446018314976e-05,-6.159446018314976e-05,0.0
144,cpd15392_e0,4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A_e0,0,0.0,0
145,cpd00507_e0,Glycerophosphocholine_e0,0,0.0,0
146,cpd00298_e0,dTMP_e0,0,0.0,0
147,cpd00448_e0,D-Glyceraldehyde_e0,0,0.0,0
148,cpd00047_e0,Formate_e0,-0.0036497975475322138,0.0,0.0036497975475322138
149,cpd00156_e0,L-Valine_e0,0,0.0,0.0
150,cpd00540_e0,BET_e0,0,0.0,0.0
151,cpd00028_e0,Heme_e0,0.00040553306083691154,0.0,-0.00040553306083691154
152,cpd00031_e0,GDP_e0,0,0.0,0
153,cpd01981_e0,5-Methylthio-D-ribose_e0,0,0.0,0
154,cpd15390_e0,N-Acetyl-D-galactosamine 1-phosphate_e0,0,0.0,0
155,cpd00121_e0,L-Inositol_e0,0,0.0,0
156,cpd11574_e0,Molybdate_e0,6.081258410150772e-07,-6.081258410150772e-07,0
157,cpd00107_e0,L-Leucine_e0,0,-0.03913993475417474,0.03913993475417474
158,cpd00066_e0,L-Phenylalanine_e0,0,0.01568617169338319,-0.01568617169338319
159,cpd01376_e0,Cellotetraose_e0,0,0.0,0
160,cpd00588_e0,Sorbitol_e0,0,0.0,0
161,cpd00654_e0,Deoxycytidine_e0,0,0.0,0.0
162,cpd00573_e0,L-Idonate_e0,0,0.0,0
163,cpd01092_e0,Allantoin_e0,0,0.0,0
164,cpd01262_e0,Amylotriose_e0,0,0.0,0.0
165,cpd01570_e0,"2',3'-Cyclic AMP_e0",0,0.0,0
166,cpd08374_e0,alpha-Mannosylglycerate_e0,0,0.0,0
167,cpd12843_e0,Fe(III)hydroxamate_e0,0,0.0,0
168,cpd03701_e0,Gp_e0,0,0.0,0
169,cpd00348_e0,D-Galactose 1-phosphate_e0,0,0.0,0
170,cpd00106_e0,Fumarate_e0,0,0.0,0.0
171,cpd00142_e0,Acetoacetate_e0,0,0.0,0
172,cpd03725_e0,Fe(III)dicitrate_e0,0,0.0,0.0
173,cpd00119_e0,L-Histidine_e0,0,0.008046634253191357,-0.008046634253191357
174,cpd00029_e0,Acetate_e0,-4.8222274914171885,5.5077013794018965,-0.6854738879847081
175,cpd00516_e0,"meso-2,6-Diaminopimelate_e0",0,0.0,0
176,cpd00464_e0,alpha-Tolualdehyde_e0,0,0.0,0
177,cpd03977_e0,Tetracycline_e0,0,0.0,0
178,cpd00367_e0,Cytidine_e0,0,0.0,0.0
179,cpd00037_e0,UDP-N-acetylglucosamine_e0,0,0.0,0
180,cpd00059_e0,L-Ascorbate_e0,0,0.0,0
181,cpd00989_e0,3'-UMP_e0,0,0.0,0
182,cpd00266_e0,Carnitine_e0,0,0.0,0
183,cpd15298_e0,tetradecenoate_e0,0,0.0,0
184,cpd15411_e0,aerobactin minus Fe3_e0,0,0.0,0
185,cpd00908_e0,Glycerophosphoethanolamine_e0,0,0.0,0
186,cpd01067_e0,L-Lyxose_e0,0,0.0,0
187,cpd10515_e0,Fe2+_e0,0.001122513427397317,-0.0007169803665604055,-0.00040553306083691154
188,cpd01211_e0,Thiocyanate_e0,0,0.0,0
189,cpd00307_e0,Cytosine_e0,0,0.0,0
190,cpd00902_e0,sn-glycero-3-Phospho-1-inositol_e0,0,0.0,0
191,cpd00441_e0,(CH3)3N_e0,0,0.0,0
192,cpd00184_e0,Thymidine_e0,0,0.0,0.0
193,cpd00587_e0,D-Cysteine_e0,0,0.0,0
194,cpd00455_e0,2-Deoxy-D-glucose_e0,0,0.0,0
195,cpd00550_e0,D-Serine_e0,0,0.0,0
196,cpd01861_e0,"(R)-1,2-Propanediol_e0",0,0.0,0.0
197,cpd00081_e0,Sulfite_e0,0,0.0,0
198,cpd00164_e0,Glucuronate_e0,0,0.0,0.0
199,cpd04100_e0,Ag_e0,0,0,0
200,cpd00254_e0,Mg_e0,0.0011591747280989449,-0.0007536416672620334,-0.00040553306083691154
201,cpd00314_e0,D-Mannitol_e0,0,0.0,0
202,cpd00128_e0,Adenine_e0,0,0.0,0
203,cpd00084_e0,L-Cysteine_e0,0,-0.008109444965082526,0.008109444965082526
204,cpd00277_e0,Deoxyguanosine_e0,0,0.0,0.0
205,cpd01908_e0,Glycerol 2-phosphate_e0,0,0.0,0
206,cpd00870_e0,gamma-butyrobetaine_e0,0,0.0,0
207,cpd15493_e0,cold adapted KDO(2)-lipid (A)_e0,0,0.0,0
